,choice,alt,time,fare,age,number_own_cars,chid,idx.chid,idx.alt
1,TRUE,1,0.372,2.5,0,0,1,1,1
2,FALSE,2,1.29,8.5,1,0,1,1,2
3,FALSE,3,0.2561,1.2061,0,1,1,1,3
4,TRUE,1,0.372,2.5,0,0,2,2,1
5,FALSE,2,1.213,11.7433,1,0,2,2,2
6,FALSE,3,0.2561,1.2061,0,1,2,2,3
7,TRUE,1,0.421,2.3,0,0,3,3,1
8,FALSE,2,1.483,9.6,1,0,3,3,2
9,FALSE,3,0.2985,1.4234,0,1,3,3,3
10,TRUE,1,0.39,2.3,0,0,4,4,1
11,FALSE,2,1.066,9.7,0,0,4,4,2
12,FALSE,3,0.3706,1.7784,0,1,4,4,3
13,TRUE,1,0.39,2.3,0,0,5,5,1
14,FALSE,2,0.913,8.5,0,0,5,5,2
15,FALSE,3,0.3706,1.7784,0,1,5,5,3
16,TRUE,1,0.22,1.4,0,0,6,6,1
17,FALSE,2,0.779,3,0,0,6,6,2
18,FALSE,3,0.0941,0.3404,0,1,6,6,3
19,TRUE,1,0.22,1.4,0,0,7,7,1
20,FALSE,2,0.779,3,0,0,7,7,2
21,FALSE,3,0.0941,0.3404,0,1,7,7,3
22,TRUE,1,0.45,3.2,0,0,8,8,1
23,FALSE,2,0.948,9.1,0,0,8,8,2
24,FALSE,3,0.3442,1.654,0,1,8,8,3
25,TRUE,1,0.45,3.2,0,0,9,9,1
26,FALSE,2,1.285,10.5,0,0,9,9,2
27,FALSE,3,0.3442,1.6539,0,1,9,9,3
28,TRUE,1,0.833,5.7,0,0,10,10,1
29,FALSE,2,1.798,16.0461,1,0,10,10,2
30,FALSE,3,0.6226,5.1151,0,1,10,10,3
31,TRUE,1,0.833,5.7,0,0,11,11,1
32,FALSE,2,1.72,17.2,1,0,11,11,2
33,FALSE,3,0.6226,5.1151,0,1,11,11,3
34,TRUE,1,0.436,6.5,0,0,12,12,1
35,FALSE,2,1.693,19.3233,0,0,12,12,2
36,FALSE,3,0.7759,4.0049,0,1,12,12,3
37,TRUE,1,0.541,6.09,0,0,13,13,1
38,FALSE,2,1.36,11.8228,0,0,13,13,2
39,FALSE,3,0.6178,3.1343,0,1,13,13,3
40,TRUE,1,1.203,11,0,0,14,14,1
41,FALSE,2,1.122,14.4906,0,0,14,14,2
42,FALSE,3,0.6044,3.0636,0,1,14,14,3
43,TRUE,1,1.203,11,0,0,15,15,1
44,FALSE,2,1.122,14.4906,0,0,15,15,2
45,FALSE,3,0.6044,3.0636,0,1,15,15,3
46,TRUE,1,0.541,6.09,0,0,16,16,1
47,FALSE,2,1.342,11.8228,0,0,16,16,2
