"","choice","alt","cost","time","chid"
"1.bus",FALSE,"bus",1.8005123,20.867794,1
"1.car",TRUE,"car",1.5070097,18.5032,1
"1.carpool",FALSE,"carpool",2.3356118,26.338233,1
"1.rail",FALSE,"rail",2.3589198,30.033469,1
"2.bus",FALSE,"bus",2.2371285,67.181889,2
"2.car",FALSE,"car",6.0569985,31.311107,2
"2.carpool",FALSE,"carpool",2.8969191,34.256956,2
"2.rail",TRUE,"rail",1.8554505,60.293126,2
"3.bus",FALSE,"bus",2.5763845,63.309057,3
"3.car",TRUE,"car",5.7946769,22.547429,3
"3.carpool",FALSE,"carpool",2.1374543,23.255171,3
"3.rail",FALSE,"rail",2.7474792,49.171643,3
"4.bus",FALSE,"bus",1.9035182,19.752704,4
"4.car",TRUE,"car",1.8691439,26.090282,4
"4.carpool",FALSE,"carpool",2.5724266,29.896023,4
"4.rail",FALSE,"rail",2.2682755,13.472675,4
"5.bus",FALSE,"bus",2.6860001,43.092039,5
"5.car",TRUE,"car",2.4989523,4.6991398,5
"5.carpool",FALSE,"carpool",1.7220099,12.414084,5
"5.rail",FALSE,"rail",2.9738662,39.743252,5
"6.bus",FALSE,"bus",1.8476499,12.825617,6
"6.car",TRUE,"car",4.7268745,3.0729793,6
"6.carpool",FALSE,"carpool",0.62416829,9.2233133,6
"6.rail",FALSE,"rail",2.310053,43.544222,6
"7.bus",FALSE,"bus",2.4277433,54.091454,7
"7.car",TRUE,"car",4.7349053,13.142912,7
"7.carpool",FALSE,"carpool",0.59556734,17.766335,7
"7.rail",FALSE,"rail",2.001554,42.220248,7
"8.bus",FALSE,"bus",2.6139068,69.15692,8
"8.car",TRUE,"car",5.3462003,52.89967,8
"8.carpool",FALSE,"carpool",2.910616,48.781502,8
"8.rail",FALSE,"rail",2.7809705,53.252516,8
"9.bus",TRUE,"bus",2.4427298,45.419583,9
"9.car",FALSE,"car",4.413414,61.063826,9
"9.carpool",FALSE,"carpool",1.5911479,62.12554,9
"9.rail",FALSE,"rail",2.7147076,24.656412,9
"10.bus",FALSE,"bus",2.003332,44.432428,10
"10.car",TRUE,"car",4.2425784,16.587836,10
"10.carpool",FALSE,"carpool",1.7993008,18.309124,10
"10.rail",FALSE,"rail",2.1688623,29.485832,10
"11.bus",FALSE,"bus",1.6860691,15.723132,11
"11.car",FALSE,"car",4.5956816,45.426846,11
"11.carpool",FALSE,"carpool",2.9113332,49.051902,11
"11.rail",TRUE,"rail",2.1293792,38.266033,11
"12.bus",FALSE,"bus",2.1678075,55.347093,12
"12.car",TRUE,"car",1.8645443,17.530151,12
"12.carpool",FALSE,"carpool",0.56805487,26.731061,12
"12.rail",FALSE,"rail",1.9783431,32.651246,12
"13.bus",TRUE,"bus",1.7322482,20.20922,13
"13.car",FALSE,"car",6.5041648,37.713983,13
"13.carpool",FALSE,"carpool",2.2805527,41.152408,13
"13.rail",FALSE,"rail",1.9589641,44.946382,13
"14.bus",FALSE,"bus",1.8837529,69.950419,14
"14.car",FALSE,"car",6.7442687,45.467234,14
"14.carpool",FALSE,"carpool",2.1926255,46.570876,14
"14.rail",TRUE,"rail",1.8590745,44.400212,14
"15.bus",FALSE,"bus",2.0314579,47.859144,15
"15.car",TRUE,"car",6.2402659,35.135472,15
"15.carpool",FALSE,"carpool",0.77249172,39.068133,15
"15.rail",FALSE,"rail",2.1371388,24.657858,15
"16.bus",FALSE,"bus",2.7115209,63.70448,16
"16.car",FALSE,"car",6.2633932,64.083518,16
"16.carpool",FALSE,"carpool",1.5945123,60.936116,16
"16.rail",TRUE,"rail",2.2750602,52.327262,16
"17.bus",FALSE,"bus",2.4846608,51.685305,17
"17.car",FALSE,"car",6.7561151,50.933732,17
"17.carpool",TRUE,"carpool",1.6159335,47.23824,17
"17.rail",FALSE,"rail",2.7929115,61.281905,17
"18.bus",FALSE,"bus",1.5093606,19.23382,18
"18.car",TRUE,"car",0.64314167,2.707819,18
"18.carpool",FALSE,"carpool",1.4943596,9.8663785,18
"18.rail",FALSE,"rail",2.1451443,21.632453,18
"19.bus",FALSE,"bus",2.1202362,21.933779,19
"19.car",TRUE,"car",3.2161505,9.7279993,19
"19.carpool",FALSE,"carpool",1.6895963,17.833022,19
"19.rail",FALSE,"rail",2.7200697,32.420609,19
"20.bus",TRUE,"bus",1.9163299,19.984066,20
"20.car",FALSE,"car",6.0666282,30.378471,20
"20.carpool",FALSE,"carpool",1.6764339,38.769475,20
"20.rail",FALSE,"rail",1.7544198,33.020996,20
"21.bus",FALSE,"bus",1.7966418,25.598174,21
"21.car",TRUE,"car",3.3202341,22.46566,21
"21.carpool",FALSE,"carpool",2.8811149,30.410423,21
"21.rail",FALSE,"rail",2.5372157,26.46633,21
"22.bus",FALSE,"bus",1.7593562,59.901831,22
"22.car",TRUE,"car",6.4597431,30.069074,22
"22.carpool",FALSE,"carpool",2.1673868,32.778472,22
"22.rail",FALSE,"rail",2.0370374,66.787974,22
"23.bus",FALSE,"bus",1.7861941,12.130182,23
"23.car",FALSE,"car",2.5499877,17.016056,23
"23.carpool",TRUE,"carpool",1.1089997,22.246966,23
"23.rail",FALSE,"rail",2.544738,19.974871,23
"24.bus",FALSE,"bus",2.688278,42.880562,24
"24.car",TRUE,"car",2.6762327,37.47729,24
"24.carpool",FALSE,"carpool",2.846386,44.016655,24
"24.rail",FALSE,"rail",3.1129309,47.641137,24
"25.bus",FALSE,"bus",2.1272961,57.074256,25
"25.car",FALSE,"car",6.0001279,28.826316,25
"25.carpool",TRUE,"carpool",1.3609354,28.299881,25
"25.rail",FALSE,"rail",2.2514738,58.554555,25
"26.bus",FALSE,"bus",1.7616477,40.288535,26
"26.car",TRUE,"car",4.1838618,40.268446,26
"26.carpool",FALSE,"carpool",0.28255904,45.833653,26
"26.rail",FALSE,"rail",2.2242636,27.452098,26
"27.bus",FALSE,"bus",1.5787321,37.908816,27
"27.car",FALSE,"car",5.8730838,37.919123,27
"27.carpool",FALSE,"carpool",1.8208991,44.747438,27
"27.rail",TRUE,"rail",1.5664699,55.331333,27
"28.bus",FALSE,"bus",2.5078292,68.734291,28
"28.car",FALSE,"car",5.0130949,60.350202,28
"28.carpool",TRUE,"carpool",2.2542612,57.949006,28
"28.rail",FALSE,"rail",2.7119248,64.459863,28
"29.bus",FALSE,"bus",2.6824973,46.909787,29
"29.car",FALSE,"car",5.6043411,47.911737,29
"29.carpool",FALSE,"carpool",1.2290478,43.404142,29
"29.rail",TRUE,"rail",2.7301617,33.699599,29
"30.bus",FALSE,"bus",1.9829989,45.284643,30
"30.car",FALSE,"car",7.1388184,36.446989,30
"30.carpool",FALSE,"carpool",1.1077285,42.984373,30
"30.rail",TRUE,"rail",2.5481912,40.957124,30
"31.bus",FALSE,"bus",2.4035473,49.754905,31
"31.car",TRUE,"car",3.9540231,26.236569,31
"31.carpool",FALSE,"carpool",2.0198766,28.391377,31
"31.rail",FALSE,"rail",1.94444,40.715,31
"32.bus",FALSE,"bus",1.8525373,43.708999,32
"32.car",TRUE,"car",1.7004851,12.255571,32
"32.carpool",FALSE,"carpool",2.0909338,18.957378,32
"32.rail",FALSE,"rail",2.5486978,24.708088,32
"33.bus",FALSE,"bus",1.628328,20.624536,33
"33.car",FALSE,"car",6.6034421,46.408646,33
"33.carpool",FALSE,"carpool",1.6075596,46.637501,33
"33.rail",TRUE,"rail",1.6024871,49.011981,33
"34.bus",FALSE,"bus",2.0974984,47.434375,34
"34.car",TRUE,"car",5.7579602,19.608625,34
"34.carpool",FALSE,"carpool",2.3086975,21.823766,34
"34.rail",FALSE,"rail",2.7251428,32.003515,34
"35.bus",FALSE,"bus",1.7814836,40.117544,35
"35.car",TRUE,"car",3.2399818,19.576909,35
"35.carpool",FALSE,"carpool",1.7463736,24.459073,35
"35.rail",FALSE,"rail",2.4169151,28.730548,35
"36.bus",FALSE,"bus",1.9058464,26.586118,36
"36.car",TRUE,"car",2.0105219,6.6640275,36
"36.carpool",FALSE,"carpool",3.0700513,11.965085,36
"36.rail",FALSE,"rail",1.6596851,51.768008,36
"37.bus",FALSE,"bus",1.7742462,2.4044524,37
"37.car",TRUE,"car",3.855958,2.7769325,37
"37.carpool",FALSE,"carpool",2.3884508,15.012056,37
"37.rail",FALSE,"rail",2.1986496,4.6213726,37
"38.bus",FALSE,"bus",1.9614746,33.463245,38
"38.car",FALSE,"car",7.2061766,65.986182,38
"38.carpool",FALSE,"carpool",1.4712737,58.501534,38
"38.rail",TRUE,"rail",2.3327719,40.848112,38
"39.bus",FALSE,"bus",1.9911703,55.575604,39
"39.car",TRUE,"car",4.6332972,21.834917,39
"39.carpool",FALSE,"carpool",2.2525363,26.173282,39
"39.rail",FALSE,"rail",2.4991551,56.211393,39
"40.bus",FALSE,"bus",2.0051506,50.632522,40
"40.car",TRUE,"car",5.7189393,21.804677,40
"40.carpool",FALSE,"carpool",1.4206502,30.338911,40
"40.rail",FALSE,"rail",1.8681657,51.81645,40
"41.bus",FALSE,"bus",2.3666036,21.374624,41
"41.car",TRUE,"car",6.4922176,61.819048,41
"41.carpool",FALSE,"carpool",3.0497062,54.793346,41
"41.rail",FALSE,"rail",2.0950068,46.786229,41
"42.bus",FALSE,"bus",2.0229801,32.975038,42
"42.car",TRUE,"car",3.8042456,2.5372953,42
"42.carpool",FALSE,"carpool",0.68461883,8.8097682,42
"42.rail",FALSE,"rail",2.1222218,56.053497,42
"43.bus",FALSE,"bus",1.6110762,7.8281055,43
"43.car",FALSE,"car",5.9548527,23.857213,43
"43.carpool",FALSE,"carpool",0.63486998,27.627329,43
"43.rail",TRUE,"rail",1.866469,12.676294,43
"44.bus",FALSE,"bus",2.5322356,67.061296,44
"44.car",TRUE,"car",3.4384664,29.161494,44
"44.carpool",FALSE,"carpool",1.7502842,34.516926,44
"44.rail",FALSE,"rail",2.1889987,52.803792,44
"45.bus",FALSE,"bus",2.3831395,22.956474,45
"45.car",FALSE,"car",5.7701687,58.101944,45
"45.carpool",FALSE,"carpool",2.1981006,56.97435,45
"45.rail",TRUE,"rail",2.1506461,11.553338,45
"46.bus",FALSE,"bus",2.493972,26.368755,46
"46.car",TRUE,"car",3.5388253,10.023333,46
"46.carpool",FALSE,"carpool",2.6890775,20.407434,46
"46.rail",FALSE,"rail",2.7685642,30.948911,46
"47.bus",FALSE,"bus",1.976601,30.169208,47
"47.car",TRUE,"car",5.5708411,25.186955,47
"47.carpool",FALSE,"carpool",3.0671387,26.515941,47
"47.rail",FALSE,"rail",2.5349285,54.848598,47
"48.bus",TRUE,"bus",1.9492281,25.41755,48
"48.car",FALSE,"car",3.7261337,38.498046,48
"48.carpool",FALSE,"carpool",0.67735058,37.071833,48
"48.rail",FALSE,"rail",2.2528913,25.05947,48
"49.bus",TRUE,"bus",1.7190779,18.375587,49
"49.car",FALSE,"car",5.2422296,66.747172,49
"49.carpool",FALSE,"carpool",3.1815736,61.411595,49
"49.rail",FALSE,"rail",1.6978638,18.625506,49
"50.bus",FALSE,"bus",2.1133127,66.838811,50
"50.car",TRUE,"car",6.4659027,54.374442,50
"50.carpool",FALSE,"carpool",1.8626737,50.652281,50
"50.rail",FALSE,"rail",2.3220207,71.859354,50
"51.bus",TRUE,"bus",1.3178322,17.670476,51
"51.car",FALSE,"car",4.6844706,66.028255,51
"51.carpool",FALSE,"carpool",0.51794931,58.762565,51
"51.rail",FALSE,"rail",1.4522365,34.474417,51
"52.bus",FALSE,"bus",2.6831792,55.283824,52
"52.car",FALSE,"car",6.6848169,48.238653,52
"52.carpool",TRUE,"carpool",1.8183041,45.428623,52
"52.rail",FALSE,"rail",2.9626968,51.346334,52
"53.bus",FALSE,"bus",1.9054497,34.449079,53
"53.car",TRUE,"car",5.3972388,16.354774,53
"53.carpool",FALSE,"carpool",1.8171313,19.467122,53
"53.rail",FALSE,"rail",1.9490494,29.626823,53
"54.bus",FALSE,"bus",2.0787153,41.634269,54
"54.car",TRUE,"car",5.9405114,28.293863,54
"54.carpool",FALSE,"carpool",2.8754635,32.008924,54
"54.rail",FALSE,"rail",2.7224642,21.315771,54
"55.bus",FALSE,"bus",1.8435906,63.355579,55
"55.car",TRUE,"car",2.4191739,34.820945,55
"55.carpool",FALSE,"carpool",1.4524564,40.636926,55
"55.rail",FALSE,"rail",1.8612528,33.70734,55
"56.bus",FALSE,"bus",1.8124038,45.262094,56
"56.car",FALSE,"car",3.8043324,36.284128,56
"56.carpool",FALSE,"carpool",0.86644489,42.955273,56
"56.rail",TRUE,"rail",1.5942457,29.967382,56
"57.bus",TRUE,"bus",1.750267,54.843913,57
"57.car",FALSE,"car",5.5665643,55.076583,57
"57.carpool",FALSE,"carpool",2.8552137,52.50007,57
"57.rail",FALSE,"rail",2.1824768,29.486216,57
"58.bus",FALSE,"bus",2.4757599,59.315383,58
"58.car",TRUE,"car",2.6305317,31.304616,58
"58.carpool",FALSE,"carpool",0.95193006,36.501845,58
"58.rail",FALSE,"rail",2.0397022,50.240447,58
"59.bus",FALSE,"bus",2.5373891,45.465075,59
"59.car",TRUE,"car",3.5448836,8.0663254,59
"59.carpool",FALSE,"carpool",1.7966255,19.456559,59
"59.rail",FALSE,"rail",2.5486758,23.733506,59
"60.bus",FALSE,"bus",1.7577043,61.751924,60
"60.car",TRUE,"car",3.2123949,12.590201,60
"60.carpool",FALSE,"carpool",3.0259677,20.64524,60
"60.rail",FALSE,"rail",2.3542061,57.809615,60
"61.bus",FALSE,"bus",2.0431745,54.310068,61
"61.car",TRUE,"car",4.2084363,62.104565,61
"61.carpool",FALSE,"carpool",1.2844636,57.051602,61
"61.rail",FALSE,"rail",1.7695018,54.81624,61
"62.bus",FALSE,"bus",2.0321051,20.058243,62
"62.car",FALSE,"car",4.7973854,37.691704,62
"62.carpool",FALSE,"carpool",1.8526095,40.182068,62
"62.rail",TRUE,"rail",2.4520417,28.258029,62
"63.bus",FALSE,"bus",1.4309319,8.7214419,63
"63.car",TRUE,"car",2.8239366,10.294507,63
"63.carpool",FALSE,"carpool",1.9574926,21.466087,63
"63.rail",FALSE,"rail",1.9413802,6.2171039,63
"64.bus",FALSE,"bus",1.6816013,36.606795,64
"64.car",FALSE,"car",3.9307519,41.086776,64
"64.carpool",FALSE,"carpool",0.79196099,43.110505,64
"64.rail",TRUE,"rail",1.9574771,23.491052,64
"65.bus",FALSE,"bus",1.9642012,55.204969,65
"65.car",TRUE,"car",4.809564,28.089828,65
"65.carpool",FALSE,"carpool",1.3758362,35.066961,65
"65.rail",FALSE,"rail",2.4556651,57.070314,65
"66.bus",TRUE,"bus",2.2750194,40.120792,66
"66.car",FALSE,"car",4.7514372,38.042944,66
"66.carpool",FALSE,"carpool",2.0931345,40.076259,66
"66.rail",FALSE,"rail",2.3756341,48.313781,66
"67.bus",FALSE,"bus",1.870777,69.067006,67
"67.car",TRUE,"car",4.1781708,48.313986,67
"67.carpool",FALSE,"carpool",2.2118576,50.987977,67
"67.rail",FALSE,"rail",1.7129113,70.427638,67
"68.bus",FALSE,"bus",1.5486976,19.313135,68
"68.car",TRUE,"car",2.1568061,24.766121,68
"68.carpool",FALSE,"carpool",0.19404234,34.103908,68
"68.rail",FALSE,"rail",1.7866118,24.058154,68
"69.bus",FALSE,"bus",1.83724,67.188082,69
"69.car",FALSE,"car",7.4681015,54.257917,69
"69.carpool",FALSE,"carpool",2.027985,50.99837,69
"69.rail",TRUE,"rail",1.7582025,44.042849,69
"70.bus",FALSE,"bus",2.1703587,58.145999,70
"70.car",FALSE,"car",7.2149157,66.341559,70
"70.carpool",TRUE,"carpool",1.1018836,59.586989,70
"70.rail",FALSE,"rail",2.4071029,60.061993,70
"71.bus",FALSE,"bus",2.2937875,21.659931,71
"71.car",FALSE,"car",6.003774,55.134069,71
"71.carpool",FALSE,"carpool",2.4508478,52.438526,71
"71.rail",TRUE,"rail",2.8126352,14.066537,71
"72.bus",FALSE,"bus",1.8002994,32.149086,72
"72.car",FALSE,"car",3.3160379,39.018137,72
"72.carpool",FALSE,"carpool",3.0003181,42.289538,72
"72.rail",TRUE,"rail",2.045773,20.087182,72
"73.bus",FALSE,"bus",1.868878,55.027081,73
"73.car",TRUE,"car",6.4470223,36.236021,73
"73.carpool",FALSE,"carpool",2.3348636,43.132545,73
"73.rail",FALSE,"rail",2.5924607,55.307975,73
"74.bus",FALSE,"bus",2.3211134,40.040485,74
"74.car",TRUE,"car",3.7501669,60.813648,74
"74.carpool",FALSE,"carpool",2.5044231,59.812928,74
"74.rail",FALSE,"rail",2.7919516,41.018665,74
"75.bus",FALSE,"bus",2.2769976,33.475918,75
"75.car",FALSE,"car",5.185451,45.200773,75
"75.carpool",TRUE,"carpool",1.8667917,42.302845,75
"75.rail",FALSE,"rail",2.0300458,26.59193,75
"76.bus",TRUE,"bus",1.0964212,18.342541,76
"76.car",FALSE,"car",8.8555423,64.540819,76
"76.carpool",FALSE,"carpool",2.9373549,63.479914,76
"76.rail",FALSE,"rail",1.2717194,39.824248,76
"77.bus",TRUE,"bus",2.2632035,26.019495,77
"77.car",FALSE,"car",5.8119676,24.857726,77
"77.carpool",FALSE,"carpool",0.71947906,29.986575,77
"77.rail",FALSE,"rail",1.9397196,30.473826,77
"78.bus",FALSE,"bus",2.3036511,68.229348,78
"78.car",FALSE,"car",5.8360519,42.983672,78
"78.carpool",TRUE,"carpool",1.2099299,45.757708,78
"78.rail",FALSE,"rail",2.081253,39.003873,78
"79.bus",FALSE,"bus",1.8775174,25.925771,79
"79.car",FALSE,"car",2.7864681,18.836827,79
"79.carpool",FALSE,"carpool",1.1358369,29.662561,79
"79.rail",TRUE,"rail",2.0067272,15.871665,79
"80.bus",FALSE,"bus",2.0782976,56.060475,80
"80.car",TRUE,"car",4.8739911,2.4040403,80
"80.carpool",FALSE,"carpool",3.0568502,13.058714,80
"80.rail",FALSE,"rail",2.3143229,54.40508,80
"81.bus",TRUE,"bus",2.3532152,35.096239,81
"81.car",FALSE,"car",4.8926295,62.46092,81
"81.carpool",FALSE,"carpool",1.3127356,60.1159,81
"81.rail",FALSE,"rail",1.9689209,52.41057,81
"82.bus",FALSE,"bus",1.2197797,3.9005142,82
"82.car",TRUE,"car",5.1003013,10.641061,82
"82.carpool",FALSE,"carpool",0.96178194,17.896205,82
"82.rail",FALSE,"rail",1.7891201,30.805434,82
"83.bus",FALSE,"bus",1.5281016,23.211495,83
"83.car",TRUE,"car",2.31614,15.026403,83
"83.carpool",FALSE,"carpool",1.7167535,25.370017,83
"83.rail",FALSE,"rail",2.0084732,24.150913,83
"84.bus",TRUE,"bus",1.6045286,38.874113,84
"84.car",FALSE,"car",6.208333,25.094773,84
"84.carpool",FALSE,"carpool",3.1906899,31.807802,84
